City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Buchanan,LR,2020-06-19 19:11:17,5.88,-10.05,82.4,78,75,3.36
140,Najran,SA,2020-06-19 19:11:17,17.49,44.13,89.6,15,100,7.27
141,Koslan,RU,2020-06-19 19:11:18,63.46,48.9,44.89,81,100,15.39
142,Cruzeiro Do Sul,BR,2020-06-19 19:11:18,-29.51,-51.99,80.01,74,96,1.39
143,Chengde,CN,2020-06-19 19:11:18,40.97,117.94,64.72,61,0,2.37
144,Chokurdakh,RU,2020-06-19 19:11:18,70.63,147.92,80.65,29,3,5.14
145,Arica,CL,2020-06-19 19:10:03,-18.48,-70.3,66.2,68,2,11.41
146,Knysna,ZA,2020-06-19 19:11:19,-34.04,23.05,75.2,23,0,10.29
147,Zhanaozen,KZ,2020-06-19 19:11:19,43.3,52.8,85.96,14,0,8.7
148,Venice,US,2020-06-19 19:11:19,27.1,-82.45,84.99,70,40,21.92
149,Nyrad,DK,2020-06-19 19:11:19,55.01,11.96,64.99,82,61,5.44
150,Beyneu,KZ,2020-06-19 19:11:20,45.32,55.2,87.35,26,0,16.28
151,Ahipara,NZ,2020-06-19 19:11:09,-35.17,173.17,56.05,87,100,9.13
152,Salinas,US,2020-06-19 19:09:52,36.68,-121.66,64.4,63,20,4.7
153,Clyde River,CA,2020-06-19 19:11:21,70.47,-68.59,33.8,71,20,16.11
154,Hovd,MN,2020-06-19 19:11:21,48.01,91.64,63.75,34,100,6.82
155,Upernavik,GL,2020-06-19 19:07:42,72.79,-56.15,36.95,81,49,10.98
156,Saint-Philippe,RE,2020-06-19 19:11:21,-21.36,55.77,69.8,73,100,24.16
157,Bengkulu,ID,2020-06-19 19:11:22,-3.8,102.27,75.29,90,60,3.78
158,Nurota,UZ,2020-06-19 19:11:22,40.56,65.69,71.6,19,0,4.7
159,Alofi,NU,2020-06-19 19:11:22,-19.06,-169.92,64.4,88,0,3.36
160,Novyy Urengoy,RU,2020-06-19 19:11:23,66.08,76.63,41.49,67,0,7.34
161,Rawson,AR,2020-06-19 19:11:23,-43.3,-65.1,57.54,37,0,28.3
