City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
191,Dhidhdhoo,MV,83.68,6.88,73.1,overcast clouds,Dhidhoo beach
195,Samarai,PG,80.49,-10.62,150.67,scattered clouds,Nuli Sapi
200,Labuhan,ID,78.35,-6.88,112.21,overcast clouds,bador sepret
205,Marawi,PH,84.0,8.0,124.29,few clouds,Derogongan Residence
207,Alofi,NU,82.4,-19.06,-169.92,few clouds,Taloa Heights
209,Wajima,JP,77.0,37.4,136.9,broken clouds,Wajiima Onsen Yashio
212,Sao Filipe,CV,76.55,14.9,-24.5,few clouds,Tortuga B&B
218,Tanout,NE,88.86,14.97,8.89,clear sky,
224,Ixtapa,MX,86.0,20.7,-105.2,few clouds,Container Inn Puerto Vallarta
225,Butaritari,KI,83.26,3.07,172.79,clear sky,Isles Sunset Lodge
226,Wagar,SD,89.02,16.15,36.2,overcast clouds,
231,Neiafu,TO,82.4,-18.65,-173.98,broken clouds,Mystic Sands
