City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain(Inches),Snow (inches)
97,Karratha,AU,2020-06-22 01:04:48,-20.74,116.85,70.36,30,0,16.49,clear sky,0.0,0.0
98,Lebork,PL,2020-06-22 01:05:10,54.54,17.75,64.0,100,90,12.75,overcast clouds,0.0,0.0
99,Karatuzskoye,RU,2020-06-22 01:05:11,53.61,92.87,49.71,94,100,6.85,overcast clouds,0.0,0.0
100,Bengkulu,ID,2020-06-22 01:05:11,-3.8,102.27,78.04,85,99,4.52,overcast clouds,0.0,0.0
101,Vitry-Le-Francois,FR,2020-06-22 01:05:11,48.73,4.58,57.2,87,7,2.24,clear sky,0.0,0.0
102,Pecos,US,2020-06-22 01:05:12,31.42,-103.49,104.0,7,1,11.41,clear sky,0.0,0.0
103,Kostomuksha,RU,2020-06-22 01:05:12,64.57,30.58,52.12,71,1,5.91,clear sky,0.0,0.0
104,Puerto Penasco,MX,2020-06-22 01:03:35,31.32,-113.53,86.0,61,0,3.0,clear sky,0.0,0.0
105,Chokurdakh,RU,2020-06-22 01:05:13,70.63,147.92,76.41,36,0,15.08,clear sky,0.0,0.0
106,Llanera,ES,2020-06-22 01:05:14,43.46,-5.93,60.8,93,75,2.24,broken clouds,0.0,0.0
107,Nacala,MZ,2020-06-22 01:05:14,-14.54,40.67,70.47,82,0,10.29,clear sky,0.0,0.0
108,Sorland,NO,2020-06-22 01:05:15,67.67,12.69,60.1,61,0,12.48,clear sky,0.0,0.0
109,North Battleford,CA,2020-06-22 01:05:16,52.78,-108.28,62.6,45,1,2.24,clear sky,0.0,0.0
110,Lavrentiya,RU,2020-06-22 01:05:16,65.58,-171.0,59.49,44,0,9.42,clear sky,0.0,0.0
111,Avera,US,2020-06-22 01:05:17,33.19,-82.53,82.4,74,75,6.93,thunderstorm,0.0,0.0
112,Svetlogorsk,BY,2020-06-22 01:03:52,52.63,29.73,62.83,97,71,8.3,broken clouds,0.0,0.0
113,Laguna,US,2020-06-22 01:05:17,38.42,-121.42,95.0,28,1,11.41,clear sky,0.0,0.0
114,Gamba,GA,2020-06-22 01:05:18,-2.65,10.0,71.33,95,13,3.49,few clouds,0.0,0.0
115,Lompoc,US,2020-06-22 01:01:14,34.64,-120.46,64.4,72,6,13.87,clear sky,0.0,0.0
116,Codrington,AU,2020-06-22 01:05:19,-38.27,141.97,54.39,78,96,7.85,overcast clouds,0.0,0.0
117,Kutum,SD,2020-06-22 01:05:19,14.2,24.67,74.5,17,0,9.31,clear sky,0.0,0.0
118,Ribeira Grande,PT,2020-06-22 01:05:20,38.52,-28.7,66.31,87,7,14.23,clear sky,0.0,0.0
119,Dikson,RU,2020-06-22 01:05:21,73.51,80.55,45.36,72,100,14.74,overcast clouds,0.0,0.0
120,Ponta Delgada,PT,2020-06-22 01:04:26,37.73,-25.67,64.4,93,75,7.49,broken clouds,0.0,0.0
121,Dubai,AE,2020-06-22 01:05:22,25.26,55.3,86.0,79,4,10.29,clear sky,0.0,0.0
122,Vaini,TO,2020-06-22 01:05:22,-21.2,-175.2,80.6,88,40,10.29,scattered clouds,0.0,0.0
123,Arona,ES,2020-06-22 01:05:23,28.1,-16.68,69.8,77,0,10.29,clear sky,0.0,0.0
124,Skibbereen,IE,2020-06-22 01:05:23,51.55,-9.27,53.6,93,75,10.29,broken clouds,0.0,0.0
125,Lagoa,PT,2020-06-22 01:05:23,39.05,-27.98,65.89,87,0,19.17,clear sky,0.0,0.0
126,Broken Hill,AU,2020-06-22 01:05:24,-31.95,141.43,51.8,76,90,20.8,overcast clouds,0.0,0.0
127,Cidreira,BR,2020-06-22 01:05:24,-30.18,-50.21,68.99,81,91,6.44,overcast clouds,0.0,0.0
128,Ust-Tsilma,RU,2020-06-22 01:03:43,65.44,52.15,42.46,68,100,5.01,overcast clouds,0.0,0.0
129,Faanui,PF,2020-06-22 01:05:25,-16.48,-151.75,77.56,83,93,23.02,overcast clouds,0.0,0.0
130,Hamilton,US,2020-06-22 01:05:26,39.18,-84.53,73.99,83,90,4.7,light rain,0.25,0.0
131,Berlevag,NO,2020-06-22 01:03:04,70.86,29.09,44.53,87,100,13.96,overcast clouds,0.0,0.0
132,Kapaa,US,2020-06-22 01:01:57,22.08,-159.32,82.4,69,75,14.99,broken clouds,0.0,0.0
133,Caxito,AO,2020-06-22 01:05:27,-8.58,13.66,73.4,83,75,5.82,broken clouds,0.0,0.0
134,Mahebourg,MU,2020-06-22 01:05:27,-20.41,57.7,69.8,83,40,9.17,scattered clouds,0.0,0.0
135,Husavik,IS,2020-06-22 01:05:28,66.04,-17.34,55.4,71,75,20.8,broken clouds,0.0,0.0
136,Jamestown,US,2020-06-22 01:02:33,42.1,-79.24,77.0,73,90,5.82,overcast clouds,0.0,0.0
137,Saint-Joseph,RE,2020-06-22 01:05:29,-21.37,55.62,68.0,68,20,9.17,few clouds,0.0,0.0
138,Baglung,NP,2020-06-22 01:05:29,28.27,83.59,69.06,79,99,3.58,moderate rain,1.59,0.0
